Type of Travel,Flight Distance Rounded
Personal Travel,4760
Business travel,235
Business travel,4760
Business travel,560
Business travel,4760
Personal Travel,1180
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,1060
Business travel,1180
Personal Travel,4760
Business travel,5715
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,1175
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,2610
Personal Travel,4760
Business travel,1180
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,1450
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,775
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,1180
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,1670
Business travel,2230
Business travel,4760
Business travel,1670
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,1080
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,235
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,1400
Personal Travel,2520
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,1620
Personal Travel,4760
Business travel,4760
Business travel,1020
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,845
Business travel,4760
Business travel,4760
Business travel,1035
Business travel,235
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,1070
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,680
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,845
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,5940
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,775
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Personal Travel,1620
Business travel,4760
Personal Travel,4760
Business travel,1180
Personal Travel,4760
Business travel,4760
Business travel,3855
Business travel,4760
Business travel,3075
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4565
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,1020
Business travel,4760
Personal Travel,1450
Personal Travel,1125
Personal Travel,4760
Business travel,3240
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,1610
Business travel,4760
Business travel,4760
Business travel,1460
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,1610
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,1585
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,420
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,2520
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,2520
Business travel,555
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,1035
Personal Travel,1180
Business travel,4760
Business travel,3130
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,1070
Business travel,4760
Business travel,1075
Personal Travel,4760
Business travel,1075
Business travel,4760
Business travel,2425
Business travel,3130
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,3000
Business travel,4760
Business travel,1180
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,470
Personal Travel,4760
Business travel,4760
Business travel,1610
Business travel,4760
Personal Travel,2520
Personal Travel,4760
Business travel,1085
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,950
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,430
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,430
Business travel,4760
Business travel,4760
Business travel,1125
Business travel,4760
Business travel,2455
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,680
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,640
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,430
Business travel,4760
Personal Travel,1060
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,1620
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,3995
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,2230
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,1075
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,1400
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,1020
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,1035
Business travel,2405
Business travel,1620
Business travel,1175
Personal Travel,235
Personal Travel,1070
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,5715
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,3625
Business travel,5715
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,2980
Business travel,4760
Business travel,2455
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,1390
Personal Travel,4760
Business travel,775
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,1600
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,2100
Business travel,4760
Business travel,1620
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,1610
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,505
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,1035
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,1035
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,1390
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,1610
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,555
Business travel,4760
Personal Travel,2405
Business travel,4760
Personal Travel,4760
Business travel,3240
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,1180
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,1075
Business travel,4760
Business travel,2470
Business travel,1620
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,555
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,1085
Business travel,4760
Business travel,4760
Business travel,2230
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,470
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,420
Personal Travel,4760
Personal Travel,4760
Business travel,3860
Business travel,235
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,1035
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,1180
Business travel,4760
Business travel,1390
Business travel,1400
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,1585
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,1620
Personal Travel,4760
Business travel,4760
Personal Travel,4565
Personal Travel,2455
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,1600
Business travel,4760
Personal Travel,775
Business travel,410
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,3610
Business travel,4760
Business travel,1640
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,5715
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,1070
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,420
Personal Travel,1390
Business travel,4760
Business travel,1060
Personal Travel,4760
Business travel,4760
Personal Travel,1335
Business travel,4760
Business travel,1620
Personal Travel,1035
Business travel,235
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,5715
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,870
Business travel,4760
Personal Travel,4760
Business travel,4565
Business travel,4760
Personal Travel,4760
Personal Travel,1125
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,1075
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Business travel,640
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,1620
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,1180
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,420
Business travel,4760
Personal Travel,4760
Business travel,1035
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,845
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,1390
Personal Travel,4760
Business travel,4760
Business travel,3275
Personal Travel,4760
Business travel,680
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,1585
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,2230
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,1020
Business travel,4760
Business travel,4760
Personal Travel,410
Business travel,4760
Business travel,4760
Business travel,2680
Business travel,4760
Personal Travel,4760
Business travel,430
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,3280
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,470
Business travel,4760
Business travel,4760
Personal Travel,795
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,1610
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Business travel,1450
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,420
Business travel,3065
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,1085
Business travel,3995
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Business travel,4760
Business travel,1075
Business travel,4760
Business travel,4760
Business travel,4760
Business travel,4760
Personal Travel,4760
Personal Travel,4760
Business travel,1125
Personal Travel,4760
Personal Travel,1180
Personal Travel,680
Personal Travel,4760
Personal Travel,4760
